id,question,choices,explanation,answer,document,questions_en
134,2cm được gấp lên 7 lần có giá trị là:,"['A. 32 cm', 'B. 28 cm', 'C. 14 cm', 'D. 7 cm']",,C. 14 cm,"Câu hỏi: 2cm được gấp lên 7 lần có giá trị là:. Các phương án: ['A. 32 cm', 'B. 28 cm', 'C. 14 cm', 'D. 7 cm']. Giải thích: nan. Đáp án: C. 14 cm",en: 7 times 2 centimeters of folded 2 cm is equal to: 2 centimeters of folded 2 centimeters is equal to: 2 centimeters is 7 times doubled.
1341,Số liền sau của 14 là tích của hai số nào?,"['A. 5 và 3', 'B. 2 và 7', 'C. 5 và 4', 'D. 2 và 6']","Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị.
 Vậy số liền sau của 14 là: $14 + 1 = 15$
 Ta có: 5 ${\times}$ 3 = 152 ${\times}$ 7 = 145 ${\times}$ 4 = 202 ${\times}$ 6 = 12
 Vậy số liền sau của 14 là tích của: 5 và 3",A. 5 và 3,"Câu hỏi: Số liền sau của 14 là tích của hai số nào?. Các phương án: ['A. 5 và 3', 'B. 2 và 7', 'C. 5 và 4', 'D. 2 và 6']. Giải thích: Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị.
 Vậy số liền sau của 14 là: $14 + 1 = 15$
 Ta có: 5 ${\times}$ 3 = 152 ${\times}$ 7 = 145 ${\times}$ 4 = 202 ${\times}$ 6 = 12
 Vậy số liền sau của 14 là tích của: 5 và 3. Đáp án: A. 5 và 3",en what are the factors of 14?
1342,Số liền sau của 15 là tích của hai số nào?,"['A. 2 và 7', 'B. 2 và 8', 'C. 3 và 5', 'D. 5 và 5']","Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị. Vậy số liền sau của 15 là: $15 + 1 = 16$
 Ta có:2 ${\times}$ 7 = 142 ${\times}$ 8 = 163 ${\times}$ 5 = 155 ${\times}$ 5 = 25 Vậy số liền sau của 15 là tích của 2 và 8.",B. 2 và 8,"Câu hỏi: Số liền sau của 15 là tích của hai số nào?. Các phương án: ['A. 2 và 7', 'B. 2 và 8', 'C. 3 và 5', 'D. 5 và 5']. Giải thích: Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị. Vậy số liền sau của 15 là: $15 + 1 = 16$
 Ta có:2 ${\times}$ 7 = 142 ${\times}$ 8 = 163 ${\times}$ 5 = 155 ${\times}$ 5 = 25 Vậy số liền sau của 15 là tích của 2 và 8.. Đáp án: B. 2 và 8",en: What are the factors of 15?
1344,Số liền sau của 39 là:,"['A. 40', 'B. 38', 'C. 41', 'D. 37']","Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị.
 Vậy số liền sau của 39 là: 39 + 1 = 40",A. 40,"Câu hỏi: Số liền sau của 39 là:. Các phương án: ['A. 40', 'B. 38', 'C. 41', 'D. 37']. Giải thích: Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị.
 Vậy số liền sau của 39 là: 39 + 1 = 40. Đáp án: A. 40",en: The following D of 39 is:
1348,Số liền sau của 76 là:,"['A. 75', 'B. 78', 'C. 77', 'D. 74']","Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị.
 Vậy số liền sau của 76 là: 76 + 1 = 77",C. 77,"Câu hỏi: Số liền sau của 76 là:. Các phương án: ['A. 75', 'B. 78', 'C. 77', 'D. 74']. Giải thích: Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị.
 Vậy số liền sau của 76 là: 76 + 1 = 77. Đáp án: C. 77",en: The following digit of 76 is:
135,2cm2 - 48mm2 = …,"['A. 152', 'B. 152cm', 'C. 185cm2', 'D. 152mm2']",,D. 152mm2,"Câu hỏi: 2cm2 - 48mm2 = …. Các phương án: ['A. 152', 'B. 152cm', 'C. 185cm2', 'D. 152mm2']. Giải thích: nan. Đáp án: D. 152mm2",vi: 2cm2-48mm2 =...
1350,Số liền sau của số 36 là số:,"['A. 33', 'B. 32', 'C. 31', 'D. 37']","Muốn tìm số liền sau của một số ta lấy số đó cộng thêm 1 đơn vị.
 $36 + 1 = 37$
Vậy số liền sau của số 36 là số: 37",D. 37,"Câu hỏi: Số liền sau của số 36 là số:. Các phương án: ['A. 33', 'B. 32', 'C. 31', 'D. 37']. Giải thích: Muốn tìm số liền sau của một số ta lấy số đó cộng thêm 1 đơn vị.
 $36 + 1 = 37$
Vậy số liền sau của số 36 là số: 37. Đáp án: D. 37",en: The following digit of 36 is a number.
1355,Số liền sau của số 72 389 là:,"['A. 72 388', 'B. 72 400', 'C. 72 390', 'D. 72 391']",Để tìm số liền sau của một số ta lấy số đó cộng thêm 1 đơn vị. Số liền sau của số 72 389 là 72 390.,C. 72 390,"Câu hỏi: Số liền sau của số 72 389 là:. Các phương án: ['A. 72 388', 'B. 72 400', 'C. 72 390', 'D. 72 391']. Giải thích: Để tìm số liền sau của một số ta lấy số đó cộng thêm 1 đơn vị. Số liền sau của số 72 389 là 72 390.. Đáp án: C. 72 390",en: The following integral of number 72 389 is:
1356,Số liền sau của số 75 299 là:,"['A.7 5289', 'B.75 298', 'C.75 300', 'D.75 301']",Số liền sau của số 75 299 là: 75 300,C.75 300,"Câu hỏi: Số liền sau của số 75 299 là:. Các phương án: ['A.7 5289', 'B.75 298', 'C.75 300', 'D.75 301']. Giải thích: Số liền sau của số 75 299 là: 75 300. Đáp án: C.75 300",en: The following integral of the number 75 299 is:
1357,Số liền sau của số 99 999 là:,"['A. 99 990', 'B. 90 000', 'C. 100 000', 'D. 89 000']",Số liền sau của số 99 999 là: 100 000,C. 100 000,"Câu hỏi: Số liền sau của số 99 999 là:. Các phương án: ['A. 99 990', 'B. 90 000', 'C. 100 000', 'D. 89 000']. Giải thích: Số liền sau của số 99 999 là: 100 000. Đáp án: C. 100 000",en: The following square of the numerator 99 999 is:
136,3 được lấy 4 lần viết dưới dạng tích hai số là:,"['A. 4 x 3', 'B. 3 x 4', 'C. 3 x 5']",,B. 3 x 4,"Câu hỏi: 3 được lấy 4 lần viết dưới dạng tích hai số là:. Các phương án: ['A. 4 x 3', 'B. 3 x 4', 'C. 3 x 5']. Giải thích: nan. Đáp án: B. 3 x 4",en: 3 taken 4 times 3 is 4 times written as a product of two numbers is:
1360,Số liền sau của số tròn trăm lớn nhất có ba chữ số là:,"['A. 901', 'B. 1 000', 'C. 999', 'D. 998']","Số tròn trăm lớn nhất có ba chữ số là: 900
 Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị.
 Vậy số liền sau của 900 là: $900 + 1 = 901$
 Vậy số liền sau của số tròn trăm lớn nhất có ba chữ số là: 901.",A. 901,"Câu hỏi: Số liền sau của số tròn trăm lớn nhất có ba chữ số là:. Các phương án: ['A. 901', 'B. 1 000', 'C. 999', 'D. 998']. Giải thích: Số tròn trăm lớn nhất có ba chữ số là: 900
 Muốn tìm số liền sau của một số, ta lấy số đó cộng thêm 1 đơn vị.
 Vậy số liền sau của 900 là: $900 + 1 = 901$
 Vậy số liền sau của số tròn trăm lớn nhất có ba chữ số là: 901.. Đáp án: A. 901",en: The following three numerical characters are the following digits of the most complete round hundred number:
1365,Số liền trước của 100 là:,"['A. 99', 'B. 98', 'C. 97', 'D. 96']","Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 100 là: 100 – 1 = 99",A. 99,"Câu hỏi: Số liền trước của 100 là:. Các phương án: ['A. 99', 'B. 98', 'C. 97', 'D. 96']. Giải thích: Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 100 là: 100 – 1 = 99. Đáp án: A. 99",en: The previous integral of 100 is:
1367,Số liền trước của 60 là:,"['A. 58', 'B. 59', 'C. 61', 'D. 62']","Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 60 là: 60 – 1 = 59",B. 59,"Câu hỏi: Số liền trước của 60 là:. Các phương án: ['A. 58', 'B. 59', 'C. 61', 'D. 62']. Giải thích: Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 60 là: 60 – 1 = 59. Đáp án: B. 59",en: The previous digit of 60 was:
1369,Số liền trước của 99 là:,"['A. 97', 'B. 98', 'C. 100', 'D. 96']","Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 99 là: 99 – 1 = 98",B. 98,"Câu hỏi: Số liền trước của 99 là:. Các phương án: ['A. 97', 'B. 98', 'C. 100', 'D. 96']. Giải thích: Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 99 là: 99 – 1 = 98. Đáp án: B. 98",en: The previous Dadez of 99 is:
137,3 không phải là thương của hai số nào?,"['A. 15 và 5', 'B. 6 và 2', 'C. 12 và 4', 'D. 10 và 2']",,D. 10 và 2,"Câu hỏi: 3 không phải là thương của hai số nào?. Các phương án: ['A. 15 và 5', 'B. 6 và 2', 'C. 12 và 4', 'D. 10 và 2']. Giải thích: nan. Đáp án: D. 10 và 2",en 3 is not a quotient of two of what?
1371,Số liền trước của số 50 000 là:,"['A. 49 999', 'B. 49 900', 'C. 48 999', 'D. 49 989']",Số liền trước của số 50 000 là: 49 999,A. 49 999,"Câu hỏi: Số liền trước của số 50 000 là:. Các phương án: ['A. 49 999', 'B. 49 900', 'C. 48 999', 'D. 49 989']. Giải thích: Số liền trước của số 50 000 là: 49 999. Đáp án: A. 49 999",en: The previous figures of the previous issue of 50 000 were:
1372,Số liền trước của số 54 829 là:,"['A. 54 828', 'B. 54 830', 'C. 54 839', 'D. 54 819']","Phương pháp
 Số liền trước của một số thì kém số đó 1 đơn vị.
 Cách giải
 Số liền trước của số 54 829 là 54 828.",A. 54 828,"Câu hỏi: Số liền trước của số 54 829 là:. Các phương án: ['A. 54 828', 'B. 54 830', 'C. 54 839', 'D. 54 819']. Giải thích: Phương pháp
 Số liền trước của một số thì kém số đó 1 đơn vị.
 Cách giải
 Số liền trước của số 54 829 là 54 828.. Đáp án: A. 54 828",en: The previous number of 54 829 is:
1373,Số liền trước của số 63 là số:,"['A. 62', 'B. 61', 'C. 60', 'D. 59']","Muốn tìm số liền trước của một số ta lấy số đó trừ đi 1 đơn vị.
 63 – 1 = 62
 Vậy số liền trước của số 63 là số: 62",A. 62,"Câu hỏi: Số liền trước của số 63 là số:. Các phương án: ['A. 62', 'B. 61', 'C. 60', 'D. 59']. Giải thích: Muốn tìm số liền trước của một số ta lấy số đó trừ đi 1 đơn vị.
 63 – 1 = 62
 Vậy số liền trước của số 63 là số: 62. Đáp án: A. 62",en: The previous digit of 63 was a number.
1374,Số liền trước của số 67 700 là:,"['A. 67 699', 'B. 67 600', 'C. 67 999', 'D. 67 698']",Số liền trước của số 67 700 là: 67 699,A. 67 699,"Câu hỏi: Số liền trước của số 67 700 là:. Các phương án: ['A. 67 699', 'B. 67 600', 'C. 67 999', 'D. 67 698']. Giải thích: Số liền trước của số 67 700 là: 67 699. Đáp án: A. 67 699",en: The previous integral of the numerator 67 700 was:
1375,Số liền trước của số 78 540 là:,"['A. 78 530', 'B. 78 539', 'C. 78 640', 'D. 79 540']","Muốn tìm số liền trước của một số ta lấy số đó trừ đi 1 đơn vị.
 Lấy 78 540 – 1 = 78 539
 Vậy số liền trước của số 78 540 là: 78 539",B. 78 539,"Câu hỏi: Số liền trước của số 78 540 là:. Các phương án: ['A. 78 530', 'B. 78 539', 'C. 78 640', 'D. 79 540']. Giải thích: Muốn tìm số liền trước của một số ta lấy số đó trừ đi 1 đơn vị.
 Lấy 78 540 – 1 = 78 539
 Vậy số liền trước của số 78 540 là: 78 539. Đáp án: B. 78 539",en: The previous number of 78 540 was:
1376,Số liền trước của số 800 là:,"['A. 779', 'B. 801', 'C. 799', 'D. 789']","Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị. Vậy số liền trước của số 800 là: 800 – 1 = 799",C. 799,"Câu hỏi: Số liền trước của số 800 là:. Các phương án: ['A. 779', 'B. 801', 'C. 799', 'D. 789']. Giải thích: Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị. Vậy số liền trước của số 800 là: 800 – 1 = 799. Đáp án: C. 799",en: The previous integral of the 800 is:
1378,Số liền trước của số lớn nhất có năm chữ số là:,"['A. 89 999', 'B. 98 999', 'C. 99 998', 'D. 99 989']","Số lớn nhất có năm chữ số là 99 999
 Số liền trước của số lớn nhất có năm chữ số là: 99 998",C. 99 998,"Câu hỏi: Số liền trước của số lớn nhất có năm chữ số là:. Các phương án: ['A. 89 999', 'B. 98 999', 'C. 99 998', 'D. 99 989']. Giải thích: Số lớn nhất có năm chữ số là 99 999
 Số liền trước của số lớn nhất có năm chữ số là: 99 998. Đáp án: C. 99 998",en: The previous digits of the largest number with five digits are:
1379,Số liền trước của số lớn nhất có năm chữ số là:,"['A. 89 999', 'B. 99 998', 'C. 98 999', 'D. 99 989']","Số lớn nhất có năm chữ số là: 99 999
 Vậy số liền trước của số lớn nhất có năm chữ số là: 99 998",B. 99 998,"Câu hỏi: Số liền trước của số lớn nhất có năm chữ số là:. Các phương án: ['A. 89 999', 'B. 99 998', 'C. 98 999', 'D. 99 989']. Giải thích: Số lớn nhất có năm chữ số là: 99 999
 Vậy số liền trước của số lớn nhất có năm chữ số là: 99 998. Đáp án: B. 99 998",en: The previous digits of the largest number with five digits are:
138,3 và ? được 7,"['A. 3', 'B. 4', 'C. 5', 'D. 6']",3 và 4 được 7.Vậy số cần điền là: 4,B. 4,"Câu hỏi: 3 và ? được 7. Các phương án: ['A. 3', 'B. 4', 'C. 5', 'D. 6']. Giải thích: 3 và 4 được 7.Vậy số cần điền là: 4. Đáp án: B. 4",vi 7. 3 and? is 7.
1380,Số liền trước của số tròn chục nhỏ nhất có ba chữ số là:,"['A. 99', 'B. 111', 'C. 109', 'D. 110']","Số tròn chục nhỏ nhất có ba chữ số là: 100
 Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị. Vậy số liền trước của 100 là: 100 – 1 = 99
 Vậy số liền trước của số tròn chục nhỏ nhất có ba chữ số là: 99",A. 99,"Câu hỏi: Số liền trước của số tròn chục nhỏ nhất có ba chữ số là:. Các phương án: ['A. 99', 'B. 111', 'C. 109', 'D. 110']. Giải thích: Số tròn chục nhỏ nhất có ba chữ số là: 100
 Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị. Vậy số liền trước của 100 là: 100 – 1 = 99
 Vậy số liền trước của số tròn chục nhỏ nhất có ba chữ số là: 99. Đáp án: A. 99",en: The last three digits of the three numerals in the least number of ten are:
1382,"Số lớn nhất có ba chữ số ghép được từ các số 2, 8, 5, 0 là:","['A. 285', 'B. 852', 'C. 582', 'D. 805']","Ta có: 8 5 2 0
 Số lớn nhất có ba chữ số ghép được từ các số 2, 8, 5, 0 là số tính từ trái sang phải theo thứ tự các số đã cho giảm dần.
 Vậy số đó la: 852",B. 852,"Câu hỏi: Số lớn nhất có ba chữ số ghép được từ các số 2, 8, 5, 0 là:. Các phương án: ['A. 285', 'B. 852', 'C. 582', 'D. 805']. Giải thích: Ta có: 8 5 2 0
 Số lớn nhất có ba chữ số ghép được từ các số 2, 8, 5, 0 là số tính từ trái sang phải theo thứ tự các số đã cho giảm dần.
 Vậy số đó la: 852. Đáp án: B. 852","en: The largest number with three combined digits 2, 8, 5, 0 and 2 is:"
139,"3,25 tấn = …… kg. Số thích hợp điền vào chỗ chấm là:","['A. 3250', 'B. 325', 'C. 32,5', 'D. 3,25']","Ta có: 1 tấn = 1 000 kgNên 3,25 tấn = 3 250 kg.",A. 3250,"Câu hỏi: 3,25 tấn = …… kg. Số thích hợp điền vào chỗ chấm là:. Các phương án: ['A. 3250', 'B. 325', 'C. 32,5', 'D. 3,25']. Giải thích: Ta có: 1 tấn = 1 000 kgNên 3,25 tấn = 3 250 kg.. Đáp án: A. 3250",en: The appropriate number for the pile is:
14,"Diện tích xung quanh của hình hộp chữ nhật có chiều dài 1,1m, chiều rộng
 0,5m và chiều cao 1m là:","['A. 1,6m2', 'B. 3,2m2', 'C. 4,3m2', 'D. 3,75m2']","Chu vi mặt đáy hình hộp chữ nhật:
 (1,1 + 0,5) ⨯ 2 = 3,2 (m)
 Diện tích xung quanh hình hộp chữ nhật:
 3,2 ⨯1 = 3,2 (m2)","C. 4,3m2","Câu hỏi: Diện tích xung quanh của hình hộp chữ nhật có chiều dài 1,1m, chiều rộng
 0,5m và chiều cao 1m là:. Các phương án: ['A. 1,6m2', 'B. 3,2m2', 'C. 4,3m2', 'D. 3,75m2']. Giải thích: Chu vi mặt đáy hình hộp chữ nhật:
 (1,1 + 0,5) ⨯ 2 = 3,2 (m)
 Diện tích xung quanh hình hộp chữ nhật:
 3,2 ⨯1 = 3,2 (m2). Đáp án: C. 4,3m2","en: The surrounding area of the rectangular box with a length of 1.1m, width of 0.5m and height of 1m is:"
140,"3,2m3 = ... dm3. Số thích hợp viết vào chỗ chấm là:","['A. 32000', 'B. 3200', 'C. 320', 'D. 32']",,B. 3200,"Câu hỏi: 3,2m3 = ... dm3. Số thích hợp viết vào chỗ chấm là:. Các phương án: ['A. 32000', 'B. 3200', 'C. 320', 'D. 32']. Giải thích: nan. Đáp án: B. 3200",en: The appropriate number written on the stack is:
1405,"Số lớn nhất trong các số 8,09; 7,99; 8,89; 8,9 là:","['A. 8,09', 'B. 7,99', 'C. 8,89', 'D. 8,9']","Số 7,99 có phần nguyên là 7.Các số 8,09; 8,89; 8,9 đều có phần nguyên là 8
 + Số 8,09 có hàng phần mười là 0
 + Số 8,89 có hàng phần mười là 8
 + Số 8,9 có hàng phần mười là 9
 Do 0 < 8 < 9 nên 8,09 < 8,89 < 8,9
 Do 7 < 8 nên 7,99 < 8,09 < 8,89 < 8,9
 Vậy số lớn nhất trong các số trên là: 8,9.","D. 8,9","Câu hỏi: Số lớn nhất trong các số 8,09; 7,99; 8,89; 8,9 là:. Các phương án: ['A. 8,09', 'B. 7,99', 'C. 8,89', 'D. 8,9']. Giải thích: Số 7,99 có phần nguyên là 7.Các số 8,09; 8,89; 8,9 đều có phần nguyên là 8
 + Số 8,09 có hàng phần mười là 0
 + Số 8,89 có hàng phần mười là 8
 + Số 8,9 có hàng phần mười là 9
 Do 0 < 8 < 9 nên 8,09 < 8,89 < 8,9
 Do 7 < 8 nên 7,99 < 8,09 < 8,89 < 8,9
 Vậy số lớn nhất trong các số trên là: 8,9.. Đáp án: D. 8,9","en: The largest of the 8.09, 7.99, 8.89, 8.9, 8.09, 7.99, 8.89, 8.9 are:"
1408,"Số lớn nhất trong các số: 12,356; 12,365; 12,563; 12,536 là:","['A. 12,356', 'B. 12,365', 'C. 12,563', 'D. 12,536']","So sánh các số 12,356; 12,365; 12,563; 12,536 có: Phần nguyên: 12 = 12
 Phần mười: 3 5+ So sánh các số 12,563; 12,536 có: Phần trăm: 3 6 nên 12,536 12,563
 Vậy số lớn nhất là: 12,563.","C. 12,563","Câu hỏi: Số lớn nhất trong các số: 12,356; 12,365; 12,563; 12,536 là:. Các phương án: ['A. 12,356', 'B. 12,365', 'C. 12,563', 'D. 12,536']. Giải thích: So sánh các số 12,356; 12,365; 12,563; 12,536 có: Phần nguyên: 12 = 12
 Phần mười: 3 5+ So sánh các số 12,563; 12,536 có: Phần trăm: 3 6 nên 12,536 12,563
 Vậy số lớn nhất là: 12,563.. Đáp án: C. 12,563","en: The largest of the numbers: 12,356; 12,365; 12,563; 12,536 are:"
141,"3,3 giờ = .....giờ......phút.","['A. 3 giờ 30 phút', 'B. 3 giờ 15 phút', 'C. 3 giờ 18 phút', 'D. 3 giờ 12 phút']",,C. 3 giờ 18 phút,"Câu hỏi: 3,3 giờ = .....giờ......phút.. Các phương án: ['A. 3 giờ 30 phút', 'B. 3 giờ 15 phút', 'C. 3 giờ 18 phút', 'D. 3 giờ 12 phút']. Giải thích: nan. Đáp án: C. 3 giờ 18 phút","en: 3,3 hours =.....hour.....minute."
1415,Số năm trăm hai mươi mốt viết là:,"['A. 512', 'B. 125', 'C. 521', 'D. 251']",Số năm trăm hai mươi mốt viết là: 521,C. 521,"Câu hỏi: Số năm trăm hai mươi mốt viết là:. Các phương án: ['A. 512', 'B. 125', 'C. 521', 'D. 251']. Giải thích: Số năm trăm hai mươi mốt viết là: 521. Đáp án: C. 521",en: The five hundred and twenty are written:
1418,Số nào dưới đây có chữ số hàng nghìn là 5?,"['A. 51 490', 'B. 25 823', 'C. 62 059', 'D. 71 543']","Phương pháp
 Xác định hàng của chữ số 5 trong mỗi số rồi chọn đáp án thích hợp.
 Cách giải
 Số có chữ số hàng nghìn là 5 là số 25 823.",B. 25 823,"Câu hỏi: Số nào dưới đây có chữ số hàng nghìn là 5?. Các phương án: ['A. 51 490', 'B. 25 823', 'C. 62 059', 'D. 71 543']. Giải thích: Phương pháp
 Xác định hàng của chữ số 5 trong mỗi số rồi chọn đáp án thích hợp.
 Cách giải
 Số có chữ số hàng nghìn là 5 là số 25 823.. Đáp án: B. 25 823",en: What number below has a thousand digit of five in the thousands place?
142,30% của 40 tạ là:,"['A. 7 tạ', 'B. 12 tạ', 'C. 28 tạ', 'D. 120 tạ']",30% của 40 tạ là: 40 ${\times}$ 30 : 100 = 12 (tạ).,B. 12 tạ,"Câu hỏi: 30% của 40 tạ là:. Các phương án: ['A. 7 tạ', 'B. 12 tạ', 'C. 28 tạ', 'D. 120 tạ']. Giải thích: 30% của 40 tạ là: 40 ${\times}$ 30 : 100 = 12 (tạ).. Đáp án: B. 12 tạ",en: 30% of 40 is:
1429,Số nhỏ nhất là: 6 2 5 4,"['A. 6', 'B. 2', 'C. 5', 'D. 4']",So sánh: 2 < 4 < 5 < 6. Vậy số nhỏ nhất là 2,B. 2,"Câu hỏi: Số nhỏ nhất là: 6 2 5 4. Các phương án: ['A. 6', 'B. 2', 'C. 5', 'D. 4']. Giải thích: So sánh: 2 < 4 < 5 < 6. Vậy số nhỏ nhất là 2. Đáp án: B. 2",en: The smallest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4. The lowest numbers are: 6 2 5 4
143,30% của 80 là:,"['A. 24', 'B. 42', 'C. 240', 'D. 2 400']",,A. 24,"Câu hỏi: 30% của 80 là:. Các phương án: ['A. 24', 'B. 42', 'C. 240', 'D. 2 400']. Giải thích: nan. Đáp án: A. 24",en: 30% of 80 is:
1431,"Số nhỏ nhất trong các số 34, 51, 68, 29 là:","['A. 34', 'B. 51', 'C. 68', 'D. 29']","Số 34 có chữ số hàng chục là 3;
 Số 51 có chữ số hàng chục là 5;
 Số 68 có chữ số hàng chục là 6;
 Số 29 có chữ số hàng chục là 2.
 Do 2 < 3 < 5 < 6 nên 29 < 34 < 51 < 68.
 Vậy số nhỏ nhất trong các số trên là: 29.",D. 29,"Câu hỏi: Số nhỏ nhất trong các số 34, 51, 68, 29 là:. Các phương án: ['A. 34', 'B. 51', 'C. 68', 'D. 29']. Giải thích: Số 34 có chữ số hàng chục là 3;
 Số 51 có chữ số hàng chục là 5;
 Số 68 có chữ số hàng chục là 6;
 Số 29 có chữ số hàng chục là 2.
 Do 2 < 3 < 5 < 6 nên 29 < 34 < 51 < 68.
 Vậy số nhỏ nhất trong các số trên là: 29.. Đáp án: D. 29","en: The smallest of the numbers 34, 51, 68, 29 are:"
1432,"Số nhỏ nhất trong các số 5,686; 5,676; 5,668; 5,716 là:","['A. 5,686', 'B. 5,676', 'C. 5,668', 'D. 5,716']","Các số 5,686; 5,676; 5,668; 
 5,716 đều có cùng phần nguyên là 5.+ Số 5,686; 5,676; 5,668 đều có hàng phần 10 là 6. 
 Số 5,686 có hàng phần 100 là 8; 
 số 5,676 có hàng phần 100 là 7; 
 số 5,668 có hàng phần 100 là 6.
 Do 6 < 7 < 8 nên 5,668 < 5,676 < 5,686.
 + Số 5,716 có hàng phần 10 là 7.
 Do 6 7 nên 5,668 < 5,676 < 5,686 < 5,716.
 Vậy số bé nhất trong các số trên là: 5,668.","C. 5,668","Câu hỏi: Số nhỏ nhất trong các số 5,686; 5,676; 5,668; 5,716 là:. Các phương án: ['A. 5,686', 'B. 5,676', 'C. 5,668', 'D. 5,716']. Giải thích: Các số 5,686; 5,676; 5,668; 
 5,716 đều có cùng phần nguyên là 5.+ Số 5,686; 5,676; 5,668 đều có hàng phần 10 là 6. 
 Số 5,686 có hàng phần 100 là 8; 
 số 5,676 có hàng phần 100 là 7; 
 số 5,668 có hàng phần 100 là 6.
 Do 6 < 7 < 8 nên 5,668 < 5,676 < 5,686.
 + Số 5,716 có hàng phần 10 là 7.
 Do 6 7 nên 5,668 < 5,676 < 5,686 < 5,716.
 Vậy số bé nhất trong các số trên là: 5,668.. Đáp án: C. 5,668","en: The smallest of the 5,686,5,676,5,668,5,716 numbers are:"
